time-date,ecg
09:30:01.234 31/01/2003, -0.018
09:30:01.242 31/01/2003, -0.012
09:30:01.250 31/01/2003, -0.024
09:30:01.258 31/01/2003, -0.012
09:30:01.266 31/01/2003, -0.006
09:30:01.273 31/01/2003, -0.012
09:30:01.281 31/01/2003, -0.018
09:30:01.289 31/01/2003, -0.018
09:30:01.297 31/01/2003, -0.018
09:30:01.305 31/01/2003, -0.012
09:30:01.313 31/01/2003, -0.024
09:30:01.320 31/01/2003, -0.018
09:30:01.328 31/01/2003, -0.006
09:30:01.336 31/01/2003, -0.018
09:30:01.344 31/01/2003, -0.012
09:30:01.352 31/01/2003, -0.018
09:30:01.359 31/01/2003, -0.018
09:30:01.367 31/01/2003, -0.012
09:30:01.375 31/01/2003, -0.024
09:30:01.383 31/01/2003, -0.030
09:30:01.391 31/01/2003,  0.006
09:30:01.398 31/01/2003, -0.018
09:30:01.406 31/01/2003, -0.018
09:30:01.414 31/01/2003, -0.012
09:30:01.422 31/01/2003, -0.024
09:30:01.430 31/01/2003, -0.018
09:30:01.438 31/01/2003, -0.012
09:30:01.445 31/01/2003, -0.030
09:30:01.453 31/01/2003,  0.000
09:30:01.461 31/01/2003, -0.012
09:30:01.469 31/01/2003, -0.018
09:30:01.477 31/01/2003, -0.012
09:30:01.484 31/01/2003, -0.012
09:30:01.492 31/01/2003, -0.024
09:30:01.500 31/01/2003, -0.018
09:30:01.508 31/01/2003, -0.018
09:30:01.516 31/01/2003, -0.012
09:30:01.523 31/01/2003, -0.012
09:30:01.531 31/01/2003, -0.012
09:30:01.539 31/01/2003, -0.018
09:30:01.547 31/01/2003, -0.018
09:30:01.555 31/01/2003, -0.018
09:30:01.563 31/01/2003, -0.030
09:30:01.570 31/01/2003, -0.018
09:30:01.578 31/01/2003, -0.012
09:30:01.586 31/01/2003, -0.018
09:30:01.594 31/01/2003, -0.012
09:30:01.602 31/01/2003, -0.012
09:30:01.609 31/01/2003, -0.024
09:30:01.617 31/01/2003, -0.012
09:30:01.625 31/01/2003, -0.018
09:30:01.633 31/01/2003, -0.030
09:30:01.641 31/01/2003,  0.006
09:30:01.648 31/01/2003, -0.018
09:30:01.656 31/01/2003, -0.018
09:30:01.664 31/01/2003, -0.012
09:30:01.672 31/01/2003, -0.024
09:30:01.680 31/01/2003, -0.018
09:30:01.688 31/01/2003, -0.012
09:30:01.695 31/01/2003, -0.024
09:30:01.703 31/01/2003, -0.006
09:30:01.711 31/01/2003, -0.006
09:30:01.719 31/01/2003, -0.018
09:30:01.727 31/01/2003, -0.018
09:30:01.734 31/01/2003, -0.018
09:30:01.742 31/01/2003, -0.012
09:30:01.750 31/01/2003, -0.024
09:30:01.758 31/01/2003, -0.012
09:30:01.766 31/01/2003, -0.006
09:30:01.773 31/01/2003, -0.018
09:30:01.781 31/01/2003, -0.006
09:30:01.789 31/01/2003, -0.018
09:30:01.797 31/01/2003, -0.024
09:30:01.805 31/01/2003, -0.006
09:30:01.813 31/01/2003, -0.030
09:30:01.820 31/01/2003, -0.012
09:30:01.828 31/01/2003,  0.000
09:30:01.836 31/01/2003, -0.018
09:30:01.844 31/01/2003, -0.012
09:30:01.852 31/01/2003, -0.012
09:30:01.859 31/01/2003, -0.018
09:30:01.867 31/01/2003, -0.018
09:30:01.875 31/01/2003, -0.018
09:30:01.883 31/01/2003, -0.012
09:30:01.891 31/01/2003, -0.006
09:30:01.898 31/01/2003, -0.012
09:30:01.906 31/01/2003, -0.018
09:30:01.914 31/01/2003, -0.018
09:30:01.922 31/01/2003, -0.012
09:30:01.930 31/01/2003, -0.024
09:30:01.938 31/01/2003, -0.030
09:30:01.945 31/01/2003,  0.000
09:30:01.953 31/01/2003, -0.018
09:30:01.961 31/01/2003, -0.018
09:30:01.969 31/01/2003, -0.012
09:30:01.977 31/01/2003, -0.012
09:30:01.984 31/01/2003, -0.024
09:30:01.992 31/01/2003, -0.018
09:30:02.000 31/01/2003, -0.024
09:30:02.008 31/01/2003, -0.006
09:30:02.016 31/01/2003, -0.012
09:30:02.023 31/01/2003, -0.012
09:30:02.031 31/01/2003, -0.024
09:30:02.039 31/01/2003, -0.012
09:30:02.047 31/01/2003, -0.018
09:30:02.055 31/01/2003, -0.030
09:30:02.063 31/01/2003, -0.006
09:30:02.070 31/01/2003, -0.018
09:30:02.078 31/01/2003, -0.018
09:30:02.086 31/01/2003, -0.012
09:30:02.094 31/01/2003, -0.018
09:30:02.102 31/01/2003, -0.018
09:30:02.109 31/01/2003, -0.018
09:30:02.117 31/01/2003, -0.024
09:30:02.125 31/01/2003, -0.012
09:30:02.133 31/01/2003, -0.006
09:30:02.141 31/01/2003, -0.018
09:30:02.148 31/01/2003, -0.018
09:30:02.156 31/01/2003, -0.018
09:30:02.164 31/01/2003, -0.012
09:30:02.172 31/01/2003, -0.024
09:30:02.180 31/01/2003, -0.024
09:30:02.188 31/01/2003,  0.006
09:30:02.195 31/01/2003, -0.018
09:30:02.203 31/01/2003, -0.012
09:30:02.211 31/01/2003, -0.012
09:30:02.219 31/01/2003, -0.018
09:30:02.227 31/01/2003, -0.018
09:30:02.234 31/01/2003, -0.018
09:30:02.242 31/01/2003, -0.012
09:30:02.250 31/01/2003, -0.006
09:30:02.258 31/01/2003, -0.006
09:30:02.266 31/01/2003, -0.012
09:30:02.273 31/01/2003, -0.018
09:30:02.281 31/01/2003, -0.012
09:30:02.289 31/01/2003, -0.018
09:30:02.297 31/01/2003, -0.030
09:30:02.305 31/01/2003,  0.012
09:30:02.313 31/01/2003, -0.012
09:30:02.320 31/01/2003, -0.018
09:30:02.328 31/01/2003, -0.006
09:30:02.336 31/01/2003, -0.018
09:30:02.344 31/01/2003, -0.018
09:30:02.352 31/01/2003, -0.024
09:30:02.359 31/01/2003,  0.000
09:30:02.367 31/01/2003, -0.012
09:30:02.375 31/01/2003, -0.006
09:30:02.383 31/01/2003,  0.000
09:30:02.391 31/01/2003, -0.024
09:30:02.398 31/01/2003, -0.018
09:30:02.406 31/01/2003, -0.012
09:30:02.414 31/01/2003, -0.024
09:30:02.422 31/01/2003,  0.000
09:30:02.430 31/01/2003, -0.006
09:30:02.438 31/01/2003, -0.006
09:30:02.445 31/01/2003, -0.018
09:30:02.453 31/01/2003, -0.012
09:30:02.461 31/01/2003, -0.006
09:30:02.469 31/01/2003, -0.030
09:30:02.477 31/01/2003,  0.006
09:30:02.484 31/01/2003,  0.000
09:30:02.492 31/01/2003, -0.018
09:30:02.500 31/01/2003, -0.006
09:30:02.508 31/01/2003, -0.012
09:30:02.516 31/01/2003, -0.018
09:30:02.523 31/01/2003, -0.018
09:30:02.531 31/01/2003, -0.006
09:30:02.539 31/01/2003, -0.006
09:30:02.547 31/01/2003, -0.012
09:30:02.555 31/01/2003,  0.006
09:30:02.563 31/01/2003, -0.012
09:30:02.570 31/01/2003, -0.018
09:30:02.578 31/01/2003, -0.012
09:30:02.586 31/01/2003, -0.018
09:30:02.594 31/01/2003, -0.006
09:30:02.602 31/01/2003,  0.000
09:30:02.609 31/01/2003, -0.006
09:30:02.617 31/01/2003, -0.012
09:30:02.625 31/01/2003, -0.012
09:30:02.633 31/01/2003, -0.006
09:30:02.641 31/01/2003, -0.030
09:30:02.648 31/01/2003, -0.006
09:30:02.656 31/01/2003,  0.006
09:30:02.664 31/01/2003, -0.012
09:30:02.672 31/01/2003, -0.012
09:30:02.680 31/01/2003, -0.012
09:30:02.688 31/01/2003, -0.006
09:30:02.695 31/01/2003, -0.030
09:30:02.703 31/01/2003, -0.006
09:30:02.711 31/01/2003,  0.006
09:30:02.719 31/01/2003, -0.018
09:30:02.727 31/01/2003,  0.000
09:30:02.734 31/01/2003, -0.006
09:30:02.742 31/01/2003, -0.012
09:30:02.750 31/01/2003, -0.024
09:30:02.758 31/01/2003, -0.006
09:30:02.766 31/01/2003,  0.000
09:30:02.773 31/01/2003, -0.018
09:30:02.781 31/01/2003,  0.000
09:30:02.789 31/01/2003, -0.012
09:30:02.797 31/01/2003, -0.018
09:30:02.805 31/01/2003, -0.012
09:30:02.813 31/01/2003, -0.012
09:30:02.820 31/01/2003, -0.012
09:30:02.828 31/01/2003, -0.006
09:30:02.836 31/01/2003,  0.000
09:30:02.844 31/01/2003, -0.006
09:30:02.852 31/01/2003, -0.018
09:30:02.859 31/01/2003,  0.000
09:30:02.867 31/01/2003, -0.018
09:30:02.875 31/01/2003, -0.012
09:30:02.883 31/01/2003,  0.006
09:30:02.891 31/01/2003, -0.012
09:30:02.898 31/01/2003, -0.012
09:30:02.906 31/01/2003, -0.012
09:30:02.914 31/01/2003,  0.000
09:30:02.922 31/01/2003, -0.018
09:30:02.930 31/01/2003, -0.012
09:30:02.938 31/01/2003,  0.018
09:30:02.945 31/01/2003, -0.006
09:30:02.953 31/01/2003, -0.006
09:30:02.961 31/01/2003, -0.006
09:30:02.969 31/01/2003,  0.000
09:30:02.977 31/01/2003, -0.018
09:30:02.984 31/01/2003, -0.012
09:30:02.992 31/01/2003,  0.018
09:30:03.000 31/01/2003, -0.012
09:30:03.008 31/01/2003, -0.006
09:30:03.016 31/01/2003, -0.006
09:30:03.023 31/01/2003, -0.012
09:30:03.031 31/01/2003, -0.018
09:30:03.039 31/01/2003, -0.006
09:30:03.047 31/01/2003,  0.006
09:30:03.055 31/01/2003, -0.012
09:30:03.063 31/01/2003, -0.006
09:30:03.070 31/01/2003,  0.000
09:30:03.078 31/01/2003, -0.012
09:30:03.086 31/01/2003, -0.012
09:30:03.094 31/01/2003, -0.006
09:30:03.102 31/01/2003,  0.000
09:30:03.109 31/01/2003,  0.000
09:30:03.117 31/01/2003,  0.000
09:30:03.125 31/01/2003,  0.000
09:30:03.133 31/01/2003, -0.018
09:30:03.141 31/01/2003,  0.000
09:30:03.148 31/01/2003, -0.006
09:30:03.156 31/01/2003, -0.018
09:30:03.164 31/01/2003,  0.024
09:30:03.172 31/01/2003,  0.000
09:30:03.180 31/01/2003, -0.006
09:30:03.188 31/01/2003, -0.006
09:30:03.195 31/01/2003,  0.012
09:30:03.203 31/01/2003, -0.012
09:30:03.211 31/01/2003, -0.024
09:30:03.219 31/01/2003,  0.018
09:30:03.227 31/01/2003, -0.006
09:30:03.234 31/01/2003, -0.006
09:30:03.242 31/01/2003,  0.006
09:30:03.250 31/01/2003, -0.006
09:30:03.258 31/01/2003, -0.012
09:30:03.266 31/01/2003, -0.012
09:30:03.273 31/01/2003,  0.018
09:30:03.281 31/01/2003, -0.006
09:30:03.289 31/01/2003,  0.000
09:30:03.297 31/01/2003,  0.006
09:30:03.305 31/01/2003, -0.012
09:30:03.313 31/01/2003, -0.006
09:30:03.320 31/01/2003, -0.006
09:30:03.328 31/01/2003, -0.006
09:30:03.336 31/01/2003,  0.006
09:30:03.344 31/01/2003,  0.006
09:30:03.352 31/01/2003,  0.006
09:30:03.359 31/01/2003, -0.018
09:30:03.367 31/01/2003, -0.006
09:30:03.375 31/01/2003,  0.000
09:30:03.383 31/01/2003, -0.018
09:30:03.391 31/01/2003,  0.018
09:30:03.398 31/01/2003,  0.006
09:30:03.406 31/01/2003, -0.006
09:30:03.414 31/01/2003,  0.000
09:30:03.422 31/01/2003,  0.000
09:30:03.430 31/01/2003,  0.000
09:30:03.438 31/01/2003, -0.018
09:30:03.445 31/01/2003,  0.012
09:30:03.453 31/01/2003,  0.006
09:30:03.461 31/01/2003,  0.000
09:30:03.469 31/01/2003,  0.006
09:30:03.477 31/01/2003,  0.000
09:30:03.484 31/01/2003, -0.012
09:30:03.492 31/01/2003, -0.006
09:30:03.500 31/01/2003,  0.000
09:30:03.508 31/01/2003,  0.006
09:30:03.516 31/01/2003,  0.006
09:30:03.523 31/01/2003,  0.006
09:30:03.531 31/01/2003, -0.006
09:30:03.539 31/01/2003,  0.000
09:30:03.547 31/01/2003,  0.006
09:30:03.555 31/01/2003, -0.024
09:30:03.563 31/01/2003,  0.006
09:30:03.570 31/01/2003,  0.018
09:30:03.578 31/01/2003, -0.006
09:30:03.586 31/01/2003,  0.006
09:30:03.594 31/01/2003,  0.000
09:30:03.602 31/01/2003,  0.000
09:30:03.609 31/01/2003, -0.018
09:30:03.617 31/01/2003,  0.000
09:30:03.625 31/01/2003,  0.006
09:30:03.633 31/01/2003,  0.000
09:30:03.641 31/01/2003,  0.000
09:30:03.648 31/01/2003, -0.006
09:30:03.656 31/01/2003, -0.006
09:30:03.664 31/01/2003,  0.006
09:30:03.672 31/01/2003, -0.012
09:30:03.680 31/01/2003, -0.006
09:30:03.688 31/01/2003,  0.018
09:30:03.695 31/01/2003,  0.006
09:30:03.703 31/01/2003,  0.006
09:30:03.711 31/01/2003,  0.000
09:30:03.719 31/01/2003,  0.000
09:30:03.727 31/01/2003, -0.012
09:30:03.734 31/01/2003, -0.012
09:30:03.742 31/01/2003,  0.012
09:30:03.750 31/01/2003,  0.000
09:30:03.758 31/01/2003,  0.000
09:30:03.766 31/01/2003,  0.000
09:30:03.773 31/01/2003, -0.012
09:30:03.781 31/01/2003,  0.000
09:30:03.789 31/01/2003,  0.000
09:30:03.797 31/01/2003, -0.024
09:30:03.805 31/01/2003,  0.012
09:30:03.813 31/01/2003,  0.006
09:30:03.820 31/01/2003,  0.000
09:30:03.828 31/01/2003,  0.006
09:30:03.836 31/01/2003,  0.000
09:30:03.844 31/01/2003, -0.012
09:30:03.852 31/01/2003,  0.000
09:30:03.859 31/01/2003, -0.012
09:30:03.867 31/01/2003,  0.006
09:30:03.875 31/01/2003,  0.012
09:30:03.883 31/01/2003, -0.006
09:30:03.891 31/01/2003,  0.000
09:30:03.898 31/01/2003, -0.006
09:30:03.906 31/01/2003,  0.000
09:30:03.914 31/01/2003, -0.012
09:30:03.922 31/01/2003,  0.006
09:30:03.930 31/01/2003,  0.006
09:30:03.938 31/01/2003,  0.000
09:30:03.945 31/01/2003,  0.006
09:30:03.953 31/01/2003, -0.006
09:30:03.961 31/01/2003, -0.006
09:30:03.969 31/01/2003,  0.006
09:30:03.977 31/01/2003, -0.012
09:30:03.984 31/01/2003, -0.012
09:30:03.992 31/01/2003,  0.024
09:30:04.000 31/01/2003,  0.000
09:30:04.008 31/01/2003,  0.006
09:30:04.016 31/01/2003,  0.006
09:30:04.023 31/01/2003, -0.006
09:30:04.031 31/01/2003,  0.000
09:30:04.039 31/01/2003,  0.000
09:30:04.047 31/01/2003, -0.006
09:30:04.055 31/01/2003,  0.018
09:30:04.063 31/01/2003,  0.006
09:30:04.070 31/01/2003,  0.000
09:30:04.078 31/01/2003,  0.000
09:30:04.086 31/01/2003,  0.000
09:30:04.094 31/01/2003,  0.000
09:30:04.102 31/01/2003, -0.012
09:30:04.109 31/01/2003,  0.012
09:30:04.117 31/01/2003,  0.012
09:30:04.125 31/01/2003,  0.006
09:30:04.133 31/01/2003,  0.006
09:30:04.141 31/01/2003,  0.000
09:30:04.148 31/01/2003, -0.006
09:30:04.156 31/01/2003,  0.006
09:30:04.164 31/01/2003, -0.024
09:30:04.172 31/01/2003, -0.006
09:30:04.180 31/01/2003,  0.012
09:30:04.188 31/01/2003, -0.012
09:30:04.195 31/01/2003,  0.000
09:30:04.203 31/01/2003,  0.006
09:30:04.211 31/01/2003, -0.012
09:30:04.219 31/01/2003,  0.000
09:30:04.227 31/01/2003, -0.006
09:30:04.234 31/01/2003, -0.012
09:30:04.242 31/01/2003,  0.012
09:30:04.250 31/01/2003,  0.000
09:30:04.258 31/01/2003,  0.000
09:30:04.266 31/01/2003,  0.000
09:30:04.273 31/01/2003,  0.000
09:30:04.281 31/01/2003, -0.006
09:30:04.289 31/01/2003, -0.012
09:30:04.297 31/01/2003,  0.012
09:30:04.305 31/01/2003,  0.006
09:30:04.313 31/01/2003,  0.000
09:30:04.320 31/01/2003,  0.006
09:30:04.328 31/01/2003, -0.012
09:30:04.336 31/01/2003, -0.006
09:30:04.344 31/01/2003,  0.000
09:30:04.352 31/01/2003, -0.018
09:30:04.359 31/01/2003,  0.012
09:30:04.367 31/01/2003,  0.012
09:30:04.375 31/01/2003,  0.000
09:30:04.383 31/01/2003,  0.018
09:30:04.391 31/01/2003,  0.000
09:30:04.398 31/01/2003, -0.012
09:30:04.406 31/01/2003,  0.012
09:30:04.414 31/01/2003, -0.018
09:30:04.422 31/01/2003,  0.000
09:30:04.430 31/01/2003,  0.018
09:30:04.438 31/01/2003, -0.012
09:30:04.445 31/01/2003,  0.000
09:30:04.453 31/01/2003,  0.000
09:30:04.461 31/01/2003, -0.006
09:30:04.469 31/01/2003, -0.006
09:30:04.477 31/01/2003,  0.000
09:30:04.484 31/01/2003,  0.000
09:30:04.492 31/01/2003,  0.012
09:30:04.500 31/01/2003,  0.000
09:30:04.508 31/01/2003,  0.000
09:30:04.516 31/01/2003,  0.000
09:30:04.523 31/01/2003,  0.006
09:30:04.531 31/01/2003, -0.006
09:30:04.539 31/01/2003, -0.012
09:30:04.547 31/01/2003,  0.012
09:30:04.555 31/01/2003,  0.006
09:30:04.563 31/01/2003,  0.000
09:30:04.570 31/01/2003,  0.006
09:30:04.578 31/01/2003, -0.006
09:30:04.586 31/01/2003,  0.000
09:30:04.594 31/01/2003,  0.006
09:30:04.602 31/01/2003, -0.018
09:30:04.609 31/01/2003,  0.012
09:30:04.617 31/01/2003,  0.012
09:30:04.625 31/01/2003, -0.006
09:30:04.633 31/01/2003,  0.012
09:30:04.641 31/01/2003,  0.000
09:30:04.648 31/01/2003, -0.006
09:30:04.656 31/01/2003,  0.012
09:30:04.664 31/01/2003, -0.012
09:30:04.672 31/01/2003,  0.000
09:30:04.680 31/01/2003,  0.018
09:30:04.688 31/01/2003,  0.000
09:30:04.695 31/01/2003,  0.006
09:30:04.703 31/01/2003,  0.006
09:30:04.711 31/01/2003,  0.006
09:30:04.719 31/01/2003, -0.012
09:30:04.727 31/01/2003,  0.000
09:30:04.734 31/01/2003,  0.000
09:30:04.742 31/01/2003,  0.006
09:30:04.750 31/01/2003,  0.012
09:30:04.758 31/01/2003,  0.006
09:30:04.766 31/01/2003,  0.000
09:30:04.773 31/01/2003,  0.006
09:30:04.781 31/01/2003, -0.006
09:30:04.789 31/01/2003, -0.012
09:30:04.797 31/01/2003,  0.006
09:30:04.805 31/01/2003,  0.012
09:30:04.813 31/01/2003,  0.000
09:30:04.820 31/01/2003,  0.012
09:30:04.828 31/01/2003, -0.018
09:30:04.836 31/01/2003, -0.006
09:30:04.844 31/01/2003,  0.006
09:30:04.852 31/01/2003, -0.024
09:30:04.859 31/01/2003,  0.000
09:30:04.867 31/01/2003,  0.006
09:30:04.875 31/01/2003, -0.006
09:30:04.883 31/01/2003,  0.006
09:30:04.891 31/01/2003, -0.006
09:30:04.898 31/01/2003, -0.006
09:30:04.906 31/01/2003,  0.006
09:30:04.914 31/01/2003, -0.018
09:30:04.922 31/01/2003, -0.006
09:30:04.930 31/01/2003,  0.012
09:30:04.938 31/01/2003,  0.000
09:30:04.945 31/01/2003,  0.000
09:30:04.953 31/01/2003,  0.000
09:30:04.961 31/01/2003,  0.000
09:30:04.969 31/01/2003, -0.012
09:30:04.977 31/01/2003,  0.000
09:30:04.984 31/01/2003,  0.000
09:30:04.992 31/01/2003,  0.006
09:30:05.000 31/01/2003,  0.012
09:30:05.008 31/01/2003,  0.006
09:30:05.016 31/01/2003,  0.000
09:30:05.023 31/01/2003,  0.000
09:30:05.031 31/01/2003,  0.000
09:30:05.039 31/01/2003, -0.018
09:30:05.047 31/01/2003,  0.012
09:30:05.055 31/01/2003,  0.006
09:30:05.063 31/01/2003,  0.000
09:30:05.070 31/01/2003,  0.006
09:30:05.078 31/01/2003, -0.006
09:30:05.086 31/01/2003,  0.000
09:30:05.094 31/01/2003,  0.006
09:30:05.102 31/01/2003, -0.018
09:30:05.109 31/01/2003,  0.012
09:30:05.117 31/01/2003,  0.006
09:30:05.125 31/01/2003, -0.006
09:30:05.133 31/01/2003,  0.006
09:30:05.141 31/01/2003,  0.000
09:30:05.148 31/01/2003, -0.012
09:30:05.156 31/01/2003,  0.000
09:30:05.164 31/01/2003, -0.012
09:30:05.172 31/01/2003,  0.000
09:30:05.180 31/01/2003,  0.018
09:30:05.188 31/01/2003,  0.000
09:30:05.195 31/01/2003,  0.006
09:30:05.203 31/01/2003,  0.006
09:30:05.211 31/01/2003, -0.006
09:30:05.219 31/01/2003,  0.000
09:30:05.227 31/01/2003,  0.000
09:30:05.234 31/01/2003,  0.006
09:30:05.242 31/01/2003,  0.012
09:30:05.250 31/01/2003,  0.012
09:30:05.258 31/01/2003,  0.006
09:30:05.266 31/01/2003,  0.000
09:30:05.273 31/01/2003,  0.000
09:30:05.281 31/01/2003,  0.000
09:30:05.289 31/01/2003, -0.012
09:30:05.297 31/01/2003,  0.012
09:30:05.305 31/01/2003,  0.012
09:30:05.313 31/01/2003,  0.006
09:30:05.320 31/01/2003,  0.006
09:30:05.328 31/01/2003, -0.006
09:30:05.336 31/01/2003,  0.000
09:30:05.344 31/01/2003,  0.012
09:30:05.352 31/01/2003, -0.024
09:30:05.359 31/01/2003,  0.006
09:30:05.367 31/01/2003,  0.012
09:30:05.375 31/01/2003, -0.006
09:30:05.383 31/01/2003,  0.006
09:30:05.391 31/01/2003, -0.006
09:30:05.398 31/01/2003, -0.006
09:30:05.406 31/01/2003,  0.006
09:30:05.414 31/01/2003, -0.012
09:30:05.422 31/01/2003, -0.006
09:30:05.430 31/01/2003,  0.018
09:30:05.438 31/01/2003,  0.000
09:30:05.445 31/01/2003,  0.000
09:30:05.453 31/01/2003,  0.000
